rank,country,nol_established,nol_immigrant,nol_total,nol_percent,nos_total,nos_mean,nos_median
127,Honduras,10,2,12,0.17,8982840,816622,990
128,Macedonia,10,5,15,0.21,2154380,179532,25000
129,Moldova,10,4,14,0.2,2718530,339816,107000
130,Portugal,10,13,23,0.32,10259240,446054,15000
131,United Arab Emirates,10,17,27,0.38,9266400,370656,370000
132,French Polynesia,9,1,10,0.14,257960,25796,3000
133,Libya,9,20,29,0.41,6322800,234178,21000
134,Albania,8,4,12,0.17,2847936,284794,9820
135,Armenia,8,6,14,0.2,3036180,276016,8850
136,Belize,8,4,12,0.17,532160,44347,14100
137,Latvia,8,8,16,0.23,2305130,164652,8000
138,Hong Kong,7,4,11,0.15,6929750,692975,118500
139,Estonia,7,13,20,0.28,1541760,85653,44250
140,Lebanon,7,9,16,0.23,6603910,471708,294000
141,Mauritania,7,1,8,0.11,3858400,551200,111150
142,Mauritius,7,7,14,0.2,1234660,94974,28550
143,Palestine,7,3,10,0.14,4258410,473157,705
144,Saudi Arabia,7,18,25,0.35,18763220,852874,500000
145,Sri Lanka,7,5,12,0.17,19550320,1955032,46000
146,Trinidad and Tobago,7,2,9,0.13,2628000,328500,15600
147,Tunisia,7,8,15,0.21,11582100,827293,34650
148,Bahrain,6,8,14,0.2,1263500,97192,144000
149,Comoros,6,0,6,0.08,764500,152900,40000
150,Kyrgyzstan,6,27,33,0.46,5825990,215777,290650
151,Montenegro,6,7,13,0.18,575330,63926,34700
152,Turkmenistan,6,25,31,0.44,5300460,176682,256900
153,Bosnia and Herzegovina,5,7,12,0.17,3757804,341619,554000
154,Caribbean Netherlands,5,1,6,0.08,18540,3708,3390
155,Macao,5,2,7,0.1,582430,83204,3680
156,Cook Islands,5,0,5,0.07,15000,3000,680
157,Curacao,5,1,6,0.08,137670,27534,8760
158,Cyprus,5,11,16,0.23,1541700,110121,34800
159,Denmark,5,34,39,0.55,5924220,151903,23100
160,Djibouti,5,5,10,0.14,830400,103800,125300
161,El Salvador,5,0,5,0.07,6378000,2126000,7500
162,Eswatini,5,2,7,0.1,1261640,180234,20000
163,Ireland,5,8,13,0.18,4682020,425638,27000
164,Lesotho,5,0,5,0.07,2164000,541000,190000
165,Monaco,5,0,5,0.07,33850,6770,7110
166,São Tomé and Príncipe,5,3,8,0.11,204200,25525,14700
167,Uruguay,5,9,14,0.2,3589050,398783,25500
168,Andorra,4,1,5,0.07,73500,18375,19650
169,Aruba,4,2,6,0.08,86790,21698,7000
170,Belarus,4,7,11,0.15,8946400,813309,1121000
171,Dominican Republic,4,5,9,0.13,10193500,1698917,159000
172,Grenada,4,0,4,0.06,107353,35784,5350
173,Haiti,4,0,4,0.06,6960600,2320200,600
174,Jamaica,4,4,8,0.11,2692540,448757,7500
175,Liechtenstein,4,1,5,0.07,35910,11970,17750
176,Luxembourg,4,12,16,0.23,499250,31203,66100
177,Malta,4,4,8,0.11,468650,58581,9515
178,New Zealand,4,61,65,0.91,4706160,73534,148000
179,Northern Mariana Islands,4,3,7,0.1,42180,6026,4620
180,Palau,4,2,6,0.08,20870,3478,2185
181,Puerto Rico,4,8,12,0.17,3530200,353020,159000
182,Sint Maarten,4,5,9,0.13,39880,4431,6000
183,South Korea,4,1,5,0.07,48586000,16195333,24202500
184,Aland Islands,3,0,3,0.04,27652,9217,1450
185,Bahamas,3,2,5,0.07,667280,166820,330000
186,Barbados,3,0,3,0.04,518290,172763,256000
187,Burundi,3,1,4,0.06,10036100,2509025,9600
188,Cuba,3,2,5,0.07,11403500,3801167,5700000
189,Dominica,3,2,5,0.07,45800,15267,3000
190,Greenland,3,0,3,0.04,56200,28100,28100
191,Guadeloupe,3,1,4,0.06,449300,149767,218650
192,Guernsey,3,1,4,0.06,62720,31360,31360
193,Jersey,3,1,4,0.06,99230,33077,47350
194,Kuwait,3,4,7,0.1,3187200,637440,1163600
195,Martinique,3,1,4,0.06,427330,142443,213500
196,Mayotte,3,2,5,0.07,211700,52925,47900
197,Nauru,3,6,9,0.13,13500,2250,5100
198,Qatar,3,15,18,0.25,2537980,149293,486000
199,Rwanda,3,2,5,0.07,11124180,2224836,5440
200,Réunion,3,5,8,0.11,656200,93743,313000
201,Saint Barthélemy,3,0,3,0.04,7850,2617,1000
202,Saint Kitts and Nevis,3,0,3,0.04,52040,17347,1000
203,Saint Lucia,3,1,4,0.06,159600,79800,79800
204,Saint Martin,3,2,5,0.07,28500,5700,5000
205,Saint Vincent and the Grenadines,3,0,3,0.04,138500,46167,400
206,Seychelles,3,0,3,0.04,85420,28473,4590
207,Tonga,3,1,4,0.06,105800,26450,1270
208,Tuvalu,3,0,3,0.04,10100,5050,5050
209,U.S. Virgin Islands,3,3,6,0.08,85850,21462,9540
210,Wallis and Futuna,3,0,3,0.04,12960,4320,3900
211,Western Sahara,3,1,4,0.06,584000,292000,292000
212,American Samoa,2,5,7,0.1,56090,9348,25890
213,Anguilla,2,0,2,0.03,12450,6225,6225
214,Antigua and Barbuda,2,2,4,0.06,153800,51267,76700
215,Bermuda,2,1,3,0.04,64610,32305,62000
216,British Virgin Islands,2,0,2,0.03,39700,19850,19850
217,Cape Verde,2,1,3,0.04,489800,244900,244900
218,Christmas Island,2,0,2,0.03,1000,500,500
219,Cocos (Keeling) Islands,2,0,2,0.03,600,300,300
220,Faroe Islands,2,0,2,0.03,48000,48000,48000
221,Gibraltar,2,1,3,0.04,46700,15567,21950
222,Guam,2,7,9,0.13,181400,22675,46750
223,Iceland,2,0,2,0.03,300300,150150,150150
224,Isle of Man,2,0,2,0.03,88000,44000,44000
225,Kiribati,2,1,3,0.04,106000,35333,52750
226,Maldives,2,0,2,0.03,331000,331000,331000
227,Marshall Islands,2,0,2,0.03,65700,32850,32850
228,Montserrat,2,0,2,0.03,3920,1960,1960
229,Niue,2,1,3,0.04,1550,775,775
230,Norfolk Island,2,0,2,0.03,2110,1055,1055
231,Pitcairn,2,0,2,0.03,36,36,36
232,Samoa,2,1,3,0.04,187000,62333,93400
233,San Marino,2,0,2,0.03,25000,12500,12500
234,Tokelau,2,3,5,0.07,2421,484,870
235,Turks and Caicos Islands,2,2,4,0.06,29840,9947,14365
236,Vatican,2,0,2,0.03,330,165,165
237,British Indian Ocean Territory,1,0,1,0.01,4000,4000,4000
238,Cayman Islands,1,3,4,0.06,74840,18710,50000
239,Falkland Islands,1,1,2,0.03,2860,1430,2610
240,North Korea,1,0,1,0.01,23300000,23300000,23300000
241,Saint Helena,1,0,1,0.01,5900,5900,5900
242,Saint Pierre and Miquelon,1,0,1,0.01,6000,6000,6000
