language_en,language,notes,is_extinct
Batak,,"Spoken by: the Batak people of the North Sumatra, Republic of Indonesia",FALSE
Baybayin,ᜊᜌ᜔ᜊᜌᜒᜈ᜔,Used in: the Philippines,TRUE
Belarusian,Беларуская,Official language in: the Republic of Belarus; Recognised Minority Language in: Ukraine,FALSE
Bemba,iciBemba,Official language in: the Republic of Zambia,FALSE
Bengali,বাংলা,Official language in: the People's Republic of Bangladesh and the Republic of India,FALSE
Berber,"Tamaziɣt, Tamazight, or ⵜⴰⵎⴰⵣⵉⵖⵜ",Spoken in: Northern Africa,FALSE
Berta,Gebeto or Wetawit,"Spoken in: the Benishangul-Gumuz Region, Federal Democratic Republic of Ethiopia",FALSE
Betawi,"Basè Betawi, Basa Betawi","Spoken in: Jakarta , Tangerang City, Tangerang Regency, South Tangerang City in Banten , Bekasi City, Bekasi Regency, Bogor Regency, Depok City in West Java , Indonesia",FALSE
Bezhta,бежкьалас миц,"Spoken in: Dagestan , Russia",FALSE
Bhojpuri,"भोजपुरी, بھوجپوري","Spoken in: Bihar, Republic of India ; Jharkhand, Republic of India ; Uttar Pradesh, Republic of India ; Co-operative Republic of Guyana ; Republic of Suriname ; and Republic of Trinidad and Tobago",FALSE
Big Nambas,V'ənen Taut,"Spoken in: Malakula, Vanuatu",FALSE
Bijago,Kangaki-Kagbaaga-Kajoko Bidyogo,Spoken in: Guinea Bissau,FALSE
Bikol,Bikol,"Spoken in Bicol Region, Philippines",FALSE
Bislama,Bislama,Official language in: Republic of Vanuatu,FALSE
Blackfoot,"ᑯᖾᖹ, ᓱᖽᐧᖿ",Spoken by: the American/Canadian Blackfoot Tribe,FALSE
Bodo,बड़ो,Spoken in: Republic of India and Democratic Republic of Nepal,FALSE
Bopomofo,ㄓㄨˋ ㄧㄣ ㄈㄨˊ ㄏㄠˋ,Used in: the People's Republic of China,FALSE
Borama,𐒄𐒋𐒦𐒩𐒗𐒓,Used in: the Federal Republic of Somalia,FALSE
Bosnian,"Босански, Bosanski","Official language in: Bosnia and Herzegovina and Montenegro; Recognised Minority Language in: Republic of Albania , Kosovo , North Macedonia , and Republic of Serbia",FALSE
Braille,⠃⠗⠁⠊⠇⠑,"Braille is a tactile writing system, versions of which are used for many different languages and also used for the blind.",FALSE
Breton,Brezhoneg,"Spoken in: Brittany, French Republic",FALSE
Buginese,ᨅᨔ ᨕᨘᨁᨗ,"Spoken in: South Sulawesi, Republic of Indonesia",FALSE
Buhid,ᝊᝓᝑᝒᝇ,"Spoken in: Mindoro, Philippines",FALSE
Bulgarian,български език,"Official language in: Republic of Bulgaria , and Hellenic Republic; Recognised Minority Language in: Romania , Republic of Serbia , and Ukraine",FALSE
Burmese,မြန်မာစာ or မြန်မာစကား,Official language in: Republic of the Union of Myanmar,FALSE
Buryat,буряад хэлэн,"Official language in: Buryatia , Russia",FALSE
Bussa,"Mossittaata, Mossiya, ሞስሲትቷታ or ሞስሲያ",Spoken in: Ethiopia,FALSE
Caddo,Hasí:nay,Spoken in: Oklahoma in the United States,FALSE
Cahuilla,Ivia,"Spoken in: the southern area of the State of California, United States",FALSE
Canichana,?,Spoken in: Bolivia,TRUE
Cantonese,廣東話,"Official language in: Hong Kong Special Administration Region, People's Republic of China , Macau special Administrative Region, People's Republic of China",FALSE
Carian,𐊴𐊠𐊥𐊹𐊠𐊵,Formerly used in: Western Anatolia,FALSE
Carrier,ᑐᑊᘁᗕᑋᗸ,"Spoken in: British Columbia, Canada",FALSE
Catalan,Català,"Official language in: Principality of Andorra ; the Balearic Islands, Kingdom of Spain ; Catalonia, Kingdom of Spain ; and the Valencian Community, Kingdom of Spain; Recognised Minority Language in: Pyrénées-Orientales, French Republic ; Sardinia, Italian Republic ; and Aragón, Kingdom of Spain",FALSE
Catawba,Iyeye,Formerly spoken in: North Carolina in the United States,TRUE
Cayuga,Gayogo̱hó:nǫ’,Spoken by: the Iroquois Cayuga people living in the Canadian First Nation reservation of the Six Nations of the Grand River First Nation,FALSE
Cebuano,"Bisaya, Sinugboanon","Spoken in: Central Visayas and Mindanao, Philippines",FALSE
Chalcatongo Mixtec,Chalcatongo,Spoken in: Oaxaca in Mexico,FALSE
Cham,ꨌꩌ,Spoken in: Cambodia,FALSE
Chamorro,"Chamoru, Fino'Chamorro",Official language in: Guam and the Commonwealth of the Northern Mariana Islands,FALSE
Chechen,Нохчийн Mотт,"Official language in: the Chechen Republic, Russian Federation and the Republic of Dagestan, Russian Federation",FALSE
Cherokee,"ᏣᎳᎩ, ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ","Official language in: the Native American tribe of the Cherokee , in Oklahoma",FALSE
Chewa,Nyanja,Official language in: Republic of Malawi and Republic of Zambia,FALSE
Cheyenne,"Tsėhesenėstsestotse, Tsisinstsistots","Spoken in: Montana, United States and Oklahoma, United States",FALSE
Chhattisgarhi,छत्तीसगढ़ी,Spoken in: Republic of India,FALSE
Chickasaw,Chikasha,"Spoken in: Oklahoma, United States",FALSE
Chinese,"汉语, 漢語, 华语, 華語, or 中文","Official language in: the People's Republic of China ; Republic of Singapore ; Republic of China ; and the Wa State, Republic of the Union of Myanmar; Recognised Minority Language in: Malaysia , the Philippines , Nation of Brunei, the Abode of Peace , and the United States",FALSE
Chinese (Classical),".mw-parser-output .font-mong{font-family:""Noto Sans Mongolian"",""Menk Hawang Tig"",""Menk Qagan Tig"",""Menk Garqag Tig"",""Menk Har_a Tig"",""Menk Scnin Tig"",""Oyun Gurban Ulus Tig"",""Oyun Qagan Tig"",""Oyun Garqag Tig"",""Oyun Har_a Tig"",""Oyun Scnin Tig"",""Oyun Agula Tig"",""Mongolian Baiti"",""Mongolian Universal White"",""Mongol Usug"",""Mongolian White"",""MongolianScript"",""Code2000"",""Menksoft Qagan""}.mw-parser-output .font-mong-mnc,.mw-parser-output .font-mong:lang(mnc-Mong),.mw-parser-output .font-mong:lang(dta-Mong),.mw-parser-output .font-mong:lang(sjo-Mong){font-family:""Noto Sans Mongolian"",""Abkai Xanyan"",""Abkai Xanyan LA"",""Abkai Xanyan VT"",""Abkai Xanyan XX"",""Abkai Xanyan SC"",""Abkai Buleku"",""Daicing White"",""Mongolian Baiti"",""Mongolian Universal White""}古文 or 文言","Spoken in: the People's Republic of China , Japan , the Korean Peninsula , the Republic of China , and Socialist Republic of Vietnam",FALSE
Chipewyan,"ᑌᓀᓲᒢᕄᓀ, Dene Suline, Dëne Sųłiné",Spoken in: Canada,FALSE
Chittagonian,চাটগাঁইয়া বুলি,Spoken in: Bangladesh,FALSE
Chocangaca,ཁྱོ་ཅ་ང་ཅ་ཁ་,Spoken in: Bhutan,FALSE
Choctaw,"Chahta', Chahta Anumpa",Spoken in: The United States of America,FALSE
Chukchi,чаучу,Spoken in: Russia in the Chukotka Autonomous Okrug,FALSE
Chulym,"Ось тили, тадар тили","Spoken in: Krasnoyarsk Krai and Tomsk Oblast, Russia",FALSE
Chuvash,"Чӑвашла, Çăvaşla","Official language in: the Chuvash Republic, Russian Federation",FALSE
Cimbrian,Zimbrisch,Spoken in: the Italian Republic,FALSE
Cocos Islands Malay,Basa Pulu Cocos,"Spoken in Cocos (Keeling) Islands , Australia and Malaysia",FALSE
Comanche,Nʉmʉ Tekwapʉ,"Spoken in: Oklahoma, United States",FALSE
Cook Islands Māori,‘Airani,Official language in: Cook Islands,FALSE
Coptic,ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ,The Coptic language is a Coptic liturgical language,FALSE
Cornish,"Kernewek, Kernowek","Recognised Minority Language in: Cornwall , the United Kingdom of Great Britain and Northern Ireland",FALSE
Corsican,Corsu,Recognised Minority Language in: the French Republic,FALSE
Cree,ᓀᐦᐃᔭᐍᐏᐣ,"Official language in: the Northwest Territories, Canada; Crimean Tatar; Official language in: Crimea, Ukraine",FALSE
Croatian,Hrvatski,"Official language in: Bosnia and Herzegovina ; Republic of Croatia ; and Autonomous Province of Vojvodina, Republic of Serbia; Recognised Minority Language in: Burgenland, Republic of Austria ; Baranya County, Southern Transdanubia, Hungary ; Molise, Italian Republic ; Montenegro ; Carașova, Caraș-Severin County Romania ; and Lupac, Caraș-Severin County, Romania",FALSE
Cupeño,Kupangaxwicham Pe'memelki,"Formerly spoken in: the southern area of the State of California, United States",TRUE
Cypriot Arabic,Sanna,Recognised Minority Language in: Cyprus,FALSE
Czech,"Český Jazyk, Čeština",Official language in: the Czech Republic,FALSE
Dair,Thaminyi or طهامينيي,Spoken in: Sudan,FALSE
Dakhini,دکنی,Official language in: the Republic of India and the United Arab Emirates,FALSE
Dakota,Dakȟótiyapi,Spoken in: Canada and the United States,FALSE
Dalecarlian,Dalmål,Spoken in: Kingdom of Sweden,FALSE
Danish,Dansk,"Official language in: Kingdom of Denmark and the Faroe Islands; Recognised Minority Language in: Federal Republic of Germany , Greenland , and Republic of Iceland",FALSE
Dargwa,Дарган Mез,"Official language in: the Republic of Dagestan, Russian Federation",FALSE
Dari,"فارسی, دری, دريلو, or Yazdi",The Dari language is a Zoroastrian liturgical language,FALSE
Deseret,𐐔𐐯𐑅𐐨𐑉𐐯𐐻,The Deseret alphabet is a Mormon liturgical script,FALSE
Dhivehi,ދިވެހި,Official language in: the Republic of the Maldives,FALSE
Dolgan,"Дулҕан, Dulğan, Һака, Haka","Spoken in: Krasnoyarsk Krai , Russia",FALSE
Domari,Dômarî,"Spoken in: Middle East , North Africa and the Caucasus",FALSE
Drehu,"Dehu, Lifou, Lifu, Qene Drehu","Official language in: Lifou, New Caledonia",FALSE
Dungan,"回族语言, Xуэйзў йүян",Spoken by: the Central Asian Dungan people,FALSE
Durkha,ȭར་ཁ་,Spoken in: Bhutan,FALSE
Dutch,Nederlands,"Official language in: Aruba , Kingdom of Belgium , Country of Curaçao, , the Netherlands, , Sint Maarten, , and Republic of Suriname,",FALSE
Dutton World Speedwords,rapmotz,International Auxiliary Language,FALSE
Dzongkha,རྫོང་ཁ་,Official language in: Kingdom of Bhutan,FALSE
E,誒,Spoken in: Guangxi in China,FALSE
Egyptian Arabic,اللغة المصرية العامية,Formerly spoken in: Lower Egypt,TRUE
English,English,Official language in: 54 countries and 27 non-sovereign entities,FALSE
Erzya,Эрзянь Kель,"Official language in: the Republic of Mordovia, Russian Federation",FALSE
Esperanto,Esperanto,International Auxiliary Language,FALSE
Estonian,Eesti,Official language in: Republic of Estonia,FALSE
Even,эвэн то̄рэ̄нни or эвэды,Spoken in: Siberia,FALSE
Evenki,Эвэды̄ турэ̄н,"Spoken in: the Chinese provinces of Heilongjiang and Inner Mongolia , the Mongolian aimag of the Selenge Province , and the Russian krai of Krasnoyarsk Krai",FALSE
Ewe,"Èʋe, Èʋegbe",Spoken by: the Beninois/Togolese Ewe people,FALSE
Extremaduran,Estremeñu,Spoken in: Salamanca in Spain,FALSE
Eyak,dAXhunhyuuga',Formerly an Official language in: the American state of Alaska,TRUE
Fala,Fala,"Spoken in: Val de Xálima , Extremadura (Spain)",FALSE
Faroese,Føroyskt,Official language in: the Faroe Islands; Recognised Minority Language in: Denmark,FALSE
Fiji Hindi,फिजी बात or Fiji Baat,Spoken in: Fiji,FALSE
Fijian,"Na vosa vaka-Viti, Vakaviti",Official language in Fiji,FALSE
Filipino,Wikang Filipino,Official language in: the Philippines,FALSE
Filipino Sign Language,Sign Language,Official language in: the Philippines,FALSE
Finnish,Suomi,Official language in: Finland and the Russian autonomous republic of Karelia ; recognised as a minority language in Sweden,FALSE
Fon,"Fon gbè, Fɔngbè",Spoken by: the Beninois/Nigerian Fon people,FALSE
French,Français,"Official language in: 38 countries, 14 dependant entities, and 119 international organisations",FALSE
Frisian (North),Noordfreesk,Official language in: the German archipelago of Heligoland and the German district of Nordfriesland,FALSE
Frisian (Saterland),Seeltersk,Spoken in: the German municipality of Saterland,FALSE
Frisian (West),Frysk,Official language in: the Dutch province of Friesland,FALSE
Friulian,Furlan,Spoken in: Italy,FALSE
Fula,"Fulfulde, Pulaar, Pular",Spoken in: Central Africa,FALSE
Fur,For,"Spoken in: the Republic of Chad and Darfur, Republic of the Sudan",FALSE
Fuzhou,平話 or 福州話,Spoken in: East Asia,FALSE
Ga,Gã,Official language in: Ghana,FALSE
Gagauz,Gagauz,Official language in: in: Gagauzia in Moldova; Recognised Minority Language in: Ukraine,FALSE
Galician,Galego,Official language in: the Spanish autonomous community of Galicia,FALSE
Gallo,Galo,"Recognised Minority Language in: France mainly: Brittany , Normandy",FALSE
Gan,"赣语, 贛語","Spoken in: the Chinese provinces of Anhui, Fujian, Hubei, Hunan, and Jiangxi",FALSE
Garre,?,"Spoken in: Somalia , Ethiopia and Kenya",FALSE
Ge'ez,ግዕዝ,"Spoken in: Eritrea , Ethiopia , and Israel",FALSE
Georgian,ქართული,Official language in: Georgia,FALSE
German,Deutsch,"Official language in: Austria , the Belgian German-Speaking Community , Germany , Liechtenstein , Luxembourg , the Italian autonomous province of South Tyrol , and Switzerland; Recognised Minority Language in: the Brazilian city of Pomerode , the Czech Republic , Denmark , Hungary , the Italian autonomous province of Trentino , Kazakhstan , Namibia , Poland , Romania , Russia , the Slovak municipality of Krahule , and the Vatican City (Administrative and commanding language of the Swiss Guard)",FALSE
Gikuyu,Gĩkũyũ,Spoken in: the Kenyan Central Province,FALSE
Gilbertese,Taetae ni Kiribati,Official language in: Kiribati,FALSE
Glagolitic,"Кѷрїлловица, ⰍⱛⰓⰊⰎⰎⰑⰂⱄⰜⰀ",Formerly used by: the Middle Age Slavic people,TRUE
Godoberi,"ГъибдилӀи Mицци, Ɣibdiƛi Micci",Spoken in: the southwest area of the Russian autonomous republic of Dagestan,FALSE
Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,Formerly spoken in: pre-18th. Century Europe,TRUE
Greek,Ελληνικά,"Official language in: Cyprus and Greece; Recognised Minority Language in: Albania , Armenia , Hungary Italy , Romania , Turkey , and Ukraine",FALSE
Greenlandic,Kalaallisut,Official language in: Greenland,FALSE
Grenadian French Creole,Patwa,Spoken in: Grenada,FALSE
Guaraní,Avañe'ẽ or Javy ju,"Official language in: the Argentinian province of Corrientes , Bolivia , and Paraguay",FALSE
Gujarati,ગુજરાતી,"Official language in: the Indian union territories of Dadra and Nagar Haveli and Daman and Diu, and the Indian state of Gujarat",FALSE
Gumuz,Bega,"Spoken in: the Benishangul-Gumuz Region, Federal Democratic Republic of Ethiopia",FALSE
Gurung,तमु क्यी,Official language in: the Indian state of Sikkim,FALSE
Gwich'in,Gwich'in,Official language in: the Canadian federal territory of the Northwest Territories,FALSE
Haida,Xaat Kíl,Official language in: the Council of the Haida Nation and the US state of Alaska,FALSE
Hainanese,海南話,Spoken in: the Chinese province of Hainan,FALSE
Haitian Creole,Kreyòl Ayisyen,Official language in: Haiti,FALSE
Hakka,"客家話, 客家话",Spoken by: the Hakka people,FALSE
Hanunó'o,ᜱᜨᜳᜨᜳᜢ,"Used in: Mindoro, Philippines",FALSE
Harari,ሃራሪ,Spoken in: the Ethiopian kilil of the Harari Region,FALSE
Haryanvi,हरयाणवी,Spoken in: Haryana in India,FALSE
Hausa,حَوْسَ,Spoken by: the Hausa people,FALSE
Hawaiian,ʻŌlelo Hawaiʻi,Official language in: the American state of Hawaii,FALSE
Hazāragī,هزارگی,"Spoken in: Afghanistan , Iran , and Pakistan",FALSE
Hebrew,".mw-parser-output .script-hebrew,.mw-parser-output .script-Hebr{font-family:""SBL Hebrew"",""SBL BibLit"",""Taamey Ashkenaz"",""Taamey Frank CLM"",""Frank Ruehl CLM"",""Ezra SIL"",""Ezra SIL SR"",""Keter Aram Tsova"",""Taamey David CLM"",""Keter YG"",""Shofar"",""David CLM"",""Hadasim CLM"",""Simple CLM"",""Nachlieli"",Cardo,Alef,""Noto Serif Hebrew"",""Noto Sans Hebrew"",""David Libre"",David,""Times New Roman"",Gisha,Arial,FreeSerif,FreeSans}עברית‎",Official language in: Israel; The Hebrew language is a Jewish liturgical language,FALSE
Herero,Otjiherero,Spoken in: Botswana and Namibia,FALSE
Hiligaynon,Ilonggo,Spoken in the provinces of Iloilo and in Negros Occidental in the Philippines,FALSE
Hill Mari,Мары йӹлмӹ,"Official language in: Mari El , Russia",FALSE
Himba,"Omuhimba, Simba",Spoken in: Gabon,FALSE
Hindi,हिन्दी,Official language in: India,FALSE
Hindko,ہندکو,Spoken in: Pakistan,FALSE
Hindustani,"ہندوستانی, हिन्दुस्तानी",Spoken in: India and Pakistan,FALSE
Hinuq,гьинузас мец,"Spoken in: Dagestan , Russia",FALSE
Hiri Motu,Hiri Motu,Official language in: Papua New Guinea,FALSE
Hmong,"lol Hmongb, lus Hmoob, lug Moob","Spoken in: China , French Guiana , Laos , Thailand , America , and Vietnam",FALSE
Hokkien,福佬話,"Spoken in: the southern area of the Chinese province of Fujian , Taiwan , and in Southeast Asia",FALSE
Hopi,Hopilàvayi or Hopílavayi,"Spoken in: the northeastern area of the State of Arizona, United States",FALSE
Hungarian,Magyar,"Official language in: Hungary; Recognised Minority Language in: Austria , Croatia , Romania , Serbia , Slovakia , Slovenia , and Ukraine",FALSE
Icelandic,Íslenska,Official language in: Iceland,FALSE
Ido,Ido,International auxiliary language,FALSE
Igala,Igala,Spoken in: Nigeria,FALSE
Igbo,Asụsụ Igbo,Official language in: Nigeria; Recognised Minority Language in: Equatorial Guinea,FALSE
Ik,Icetot,Spoken in: the Republic of Uganda,FALSE
Ili Turki,"İlı turkeşi, И̇лı туркес̧и, ي̇لي تۋركەسي",Spoken in: China,FALSE
Ilocano,"Iloko, Pagsasao nga Iloko",Official language in: the Philippine province of La Union,FALSE
Indonesian,Bahasa Indonesia,Official language in: Indonesia,FALSE
Ingush,ГӀалгӀай мотт,Official language in: the Russian autonomous republic of Ingushetia,FALSE
Interlingua,Interlingua,International auxiliary language,FALSE
Interlingue (Occidental),Interlingue,International Auxiliary language,FALSE
Interslavic,"Medžuslovjansky, Меджусловјанскы",Zonal auxiliary language for Slavs,FALSE
Inuinnaqtun,?,Official language in: Nunavut in Canada,FALSE
Inuit Sign Language,"Atgangmuurngniq, ᐊᑦᒐᖕᒨᕐᖕᓂᖅ or ᐆᒃᑐᕋᐅᓯᖏᑦ",Spoken in: Nunavut in Canada,FALSE
Inuktitut,ᐃᓄᒃᑎᑐᑦ,Official language in: the Canadian provinces of the Northwest Territories and Nunavut ; the Nunavik area of the Canadian province of Quebec ; and the Canada-administrated/Inuit-claimed autonomous area of Nunatsiavut,FALSE
